seed,test_lot,samples,baseline_mae,cnn_mae,improvement,improved
7,1,10,0.1653926819562912,0.12788352370262146,0.03750915825366974,True
7,2,10,0.1110939010977745,0.06471862643957138,0.046375274658203125,True
7,3,10,0.122766874730587,0.08767013251781464,0.03509674221277237,True
7,4,10,0.20720748603343964,0.1299179047346115,0.07728958129882812,True
7,5,10,0.16960029304027557,0.17977562546730042,-0.010175332427024841,False
7,6,10,0.14016151428222656,0.07810058444738388,0.06206092983484268,True
7,7,5,0.17512817680835724,0.16626587510108948,0.008862301707267761,True
7,9,10,0.15203627943992615,0.1273479461669922,0.02468833327293396,True
21,1,10,0.1653926819562912,0.11131248623132706,0.05408019572496414,True
21,2,10,0.1110939010977745,0.10324020683765411,0.007853694260120392,True
21,3,10,0.122766874730587,0.0822601318359375,0.040506742894649506,True
21,4,10,0.20720748603343964,0.12131652981042862,0.08589095622301102,True
21,5,10,0.16960029304027557,0.17997093498706818,-0.010370641946792603,False
21,6,10,0.14016151428222656,0.08266105502843857,0.057500459253787994,True
21,7,5,0.17512817680835724,0.16959992051124573,0.005528256297111511,True
21,9,10,0.15203627943992615,0.08286476135253906,0.06917151808738708,True
42,1,10,0.1653926819562912,0.1400291472673416,0.025363534688949585,True
42,2,10,0.1110939010977745,0.1110939010977745,0.0,False
42,3,10,0.122766874730587,0.11131896823644638,0.011447906494140625,True
42,4,10,0.20720748603343964,0.12874412536621094,0.0784633606672287,True
42,5,10,0.16960029304027557,0.16023635864257812,0.009363934397697449,True
42,6,10,0.14016151428222656,0.08084411919116974,0.059317395091056824,True
42,7,5,0.17512817680835724,0.1940818727016449,-0.01895369589328766,False
42,9,10,0.15203627943992615,0.1061931625008583,0.04584311693906784,True
84,1,10,0.1653926819562912,0.13577155768871307,0.029621124267578125,True
84,2,10,0.1110939010977745,0.09199829399585724,0.019095607101917267,True
84,3,10,0.122766874730587,0.0980503112077713,0.024716563522815704,True
84,4,10,0.20720748603343964,0.12201881408691406,0.08518867194652557,True
84,5,10,0.16960029304027557,0.16850166022777557,0.0010986328125,True
84,6,10,0.14016151428222656,0.07851867377758026,0.0616428405046463,True
84,7,5,0.17512817680835724,0.17141112685203552,0.0037170499563217163,True
84,9,10,0.15203627943992615,0.07744331657886505,0.0745929628610611,True
123,1,10,0.1653926819562912,0.11889533698558807,0.046497344970703125,True
123,2,10,0.1110939010977745,0.1020534485578537,0.009040452539920807,True
123,3,10,0.122766874730587,0.08575439453125,0.037012480199337006,True
123,4,10,0.20720748603343964,0.12278328090906143,0.0844242051243782,True
123,5,10,0.16960029304027557,0.15936279296875,0.010237500071525574,True
123,6,10,0.14016151428222656,0.087519071996212,0.05264244228601456,True
123,7,5,0.17512817680835724,0.16151733696460724,0.01361083984375,True
123,9,10,0.15203627943992615,0.08376312255859375,0.0682731568813324,True
