seed,mae,rmse,r2,improvement_percent,improved_lots
7,0.11713963747024536,0.15018438465659162,0.8094158172607422,23.989468320355673,7
21,0.11312347650527954,0.13986107836084424,0.8347159624099731,26.595507888607084,7
42,0.12473342567682266,0.1530846771359667,0.8019838333129883,19.061948554117965,6
84,0.11440109461545944,0.15088564046009845,0.8076319098472595,25.766476538198614,8
123,0.1121186837553978,0.14163132716453244,0.83050537109375,27.247506074667406,8
